u,v
105703917.61031029,-156039615.27405155
14115503.232040877,9595372.561836448
104178660.22281149,131735841.54220884
-110221373.09723635,-21921900.21155002
-3493555.2343941205,124495.85543482998
42798346.66514192,-90741561.15931508
58622010.170384936,-139627766.1309658
4124246.571206358,32875703.47413172
27763106.514735755,32767664.66191156
9396601.850054722,-97128475.22541305
-40893667.96787169,-126589549.89382929
25769604.397454124,29059670.360357657
-52000468.94017515,57336871.793640785
-14685782.143591542,8507072.456158882
12179459.782413257,-156742244.18264145
-109837037.95456317,53801.79007817755
-9950981.734312765,38157084.65899541
-126420022.73407197,-17300488.48565652
-104547002.22871888,-8679595.40667396
106894166.33292688,18698639.59208845
-11393575.26069071,12602782.468228335
-94051381.1388025,-50934553.712459296
-1662843.8928219036,-5517898.043534205
84817564.66865104,-19593981.31002512
-166611545.88889253,-976578.7950892958
179741643.90358877,18802632.1049548
25125855.317009475,34974730.41161335
110737720.58323592,-47081399.622005574
-126172216.23685373,-92543495.31268613
143453895.60070837,18628733.526032016
-43274147.183810174,-44318163.40558515
27140507.669840768,-154946943.3741336
162323117.95604315,-41267162.75147986
-82578694.65403701,14830822.355443165
102457956.41004658,-70103748.92167382
188894737.28948516,3103220.2439776054
-8618677.222760443,-5372890.361328781
-10369625.13422219,-6079334.8521026615
-48133002.33730261,-26573735.34169512
-14601727.407149214,37306054.63618033
170445890.771813,37639025.62734875
33038004.904424287,35842840.019513465
-93149533.06577848,31473665.096050143
33361657.749067146,3548875.4366685026
-69213780.31656906,48553792.293325365
-14688750.431232862,6371156.874174772
-102030550.30318029,519505.7801061193
-33268513.398394708,-46174039.52293894
-115991824.90015335,-126652040.40116838
-89527100.78660843,64358336.04552871
14660672.569623107,9735875.04832712
-96474647.73627421,463378.46978423215
-108983633.90844044,-39224374.99247779
