name,x,y,z,lat,lon,A_SEFD,B_SEFD,C_SEFD,D_SEFD,selected
KATH12M,-4147354.9251,4581542.266,-1573302.7768,-14.38,227.85,4800,4800,4800,4800,1
KAUAI,-5543846.2755,-2054562.09,2387814.913,22.13,159.67,5300,5700,5700,5700,1
KOGANEI,-3941937.5856,3368151.033,3702235.291,35.71,220.51,3000,5500,5500,5500,1
KOKEE12M,-5543831.7445,-2054585.5895,2387828.9744,22.13,159.66,3000,3000,3000,3000,1
KOKEE,-5543837.8378,-2054566.3664,2387852.7011,22.13,159.67,750,2000,2000,2000,1
KP-VLBA,-1995678.9381,-5037317.7052,3357327.9624,31.96,111.61,400,500,500,500,1
KUNMING,-1281153.1243,5640864.436,2682653.3703,24.88,257.2,500,600,600,600,1
LA-VLBA,-1449752.6892,-4975298.5841,3709123.7962,35.78,106.25,400,500,500,500,1
MACGO12M,-1330788.462,-5328106.5932,3236427.4918,30.4,104.01,35000,3000,3000,3000,1
MARCUS,-5227445.3973,2551381.2233,2607605.62,24.29,206.02,12000,17000,17000,17000,1
MATERA,4641938.3314,1393003.4657,4133325.9007,40.65,343.3,2200,1600,1600,1600,1
MEDICINA,4461369.5583,919597.2638,4449559.4908,44.52,348.35,1500,1100,1100,1100,1
MEDICINA,4461369.5583,919597.2638,4449559.4908,44.52,348.35,296,296,296,296,1
METSAHOV,2892584.7211,1311715.7023,5512640.246,60.24,335.62,8000,6000,6000,6000,1
MIAMI20,961255.0983,-5674092.5971,2740533.8203,25.61,80.38,5500,5500,5500,5500,1
MIURA,-3976129.8229,3377928.0484,3656754.0283,35.21,220.35,4500,4500,4500,4500,1
MIZNAO10,-3857237.1446,3108804.0317,4003883.3912,39.13,218.87,31000,7250,7250,7250,1
MIZUSGSI,-3862413.0284,3105015.9128,4001945.231,39.11,218.8,76300,24300,24300,24300,1
MK-VLBA,-5464075.2869,-2495247.6338,2148297.6111,19.8,155.46,400,500,500,500,1
MOJAVE12,-2356171.3952,-4646755.6767,3668470.5,35.33,116.89,3100,2750,2750,2750,1
MOPRA,-4682768.63,2802619.06,-3291759.9,-31.27,210.9,1500,1500,1500,1500,1
NL-VLBA,-130872.6138,-4762317.0954,4226850.9796,41.77,91.57,400,500,500,500,1
NOBEYA45,-3871168.1868,3428273.9287,3723697.6202,35.94,221.53,X,S,S,S,1
NOTO,4934562.7087,1321201.6748,3806484.8694,36.88,345.01,500,2000,2000,2000,1
NOTO,4934562.7087,1321201.6748,3806484.8694,36.88,345.01,260,260,260,260,1
NRAO_140,882879.5433,-4924482.3526,3944130.7533,38.44,79.84,530,730,730,730,1
NRAO20,883772.4055,-4924385.6317,3944042.5557,38.44,79.83,600,900,900,900,1
NRAO85_3,882325.2189,-4925138.0325,3943397.7458,38.43,79.84,550,800,800,800,1
NYALE13S,1201070.5946,252129.3374,6238022.55,78.94,348.15,7300,3100,3100,3100,1
NYALE13N,1200992.6704,252098.6295,6238038.6465,78.94,348.15,1950,1470,1470,1470,1
NYALES20,1202462.41,252734.5652,6237766.2981,78.93,348.13,1500,1000,1000,1000,1
ONSA13NE,3370889.29752,711571.19917,5349692.04831,57.39,348.08,3000,3000,3000,3000,1
ONSA13SW,3370946.77873,711534.50687,5349660.92546,57.39,348.08,3000,3000,3000,3000,1
ONSALA60,3370605.6897,711917.8242,5349830.9927,57.4,348.07,2500,2000,2000,2000,1
OVRO_130,-2409601.2238,-4478349.2592,3838603.1036,37.23,118.28,775,810,810,810,1
OV-VLBA,-2409150.5401,-4478573.0817,3838617.3002,37.23,118.28,400,500,500,500,1
PARKES,-4554232.8243,2816758.8708,-3454034.6912,-33.0,211.74,300,200,200,200,1
PIETOWN,-1640954.0437,-5014816.0356,3575411.7362,34.3,108.12,400,500,500,500,1
RAEGSMAR,4618524.3022,-2166020.7199,3816270.3446,36.99,25.13,1700,1600,1600,1600,1
