YMDHM,Second,Source,Station1,Station2,El1,Az1,El2,Az2,A_freq,B_freq,C_freq,D_freq,tot_freq
20/12/22-18:03,3.0,2215+150,GGAO12M,RAEGYEB,0.7180342933782927,1.826285966360767,0.9956221599365882,3.9723072448814487,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,GGAO12M,WESTFORD,0.7180342933782927,1.826285966360767,0.7649888420068157,1.96214296345433,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,GGAO12M,WETTZ13S,0.7180342933782927,1.826285966360767,0.7480954327346395,4.168473366042851,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,MACGO12M,ONSA13NE,0.338585876154846,1.45107437087193,0.6743285389374083,4.047793720478367,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,MACGO12M,ONSA13SW,0.338585876154846,1.45107437087193,0.6743400057164028,4.047784071822933,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,MACGO12M,RAEGYEB,0.338585876154846,1.45107437087193,0.9956221599365882,3.9723072448814487,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,MACGO12M,WESTFORD,0.338585876154846,1.45107437087193,0.7649888420068157,1.96214296345433,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,MACGO12M,WETTZ13S,0.338585876154846,1.45107437087193,0.7480954327346395,4.168473366042851,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,ONSA13NE,RAEGYEB,0.6743285389374083,4.047793720478367,0.9956221599365882,3.9723072448814487,3384.3999999999996,5500.971428571428,6643.828571428571,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,ONSA13NE,WESTFORD,0.6743285389374083,4.047793720478367,0.7649888420068157,1.96214296345433,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,ONSA13NE,WETTZ13S,0.6743285389374083,4.047793720478367,0.7480954327346395,4.168473366042851,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,ONSA13SW,RAEGYEB,0.6743400057164028,4.047784071822933,0.9956221599365882,3.9723072448814487,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,ONSA13SW,WESTFORD,0.6743400057164028,4.047784071822933,0.7649888420068157,1.96214296345433,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,ONSA13SW,WETTZ13S,0.6743400057164028,4.047784071822933,0.7480954327346395,4.168473366042851,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,WESTFORD,RAEGYEB,0.7649888420068157,1.96214296345433,0.9956221599365882,3.9723072448814487,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,WESTFORD,WETTZ13S,0.7649888420068157,1.96214296345433,0.7480954327346395,4.168473366042851,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:03,3.0,2215+150,WETTZ13S,RAEGYEB,0.7480954327346395,4.168473366042851,0.9956221599365882,3.9723072448814487,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:04,11.0,1424-418,KOKEE12M,MACGO12M,0.42512404469797227,2.9410712898879776,0.13518097586780134,3.659530557433495,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:04,11.0,2126-158,GGAO12M,RAEGYEB,0.4466218539002342,2.4509231538438296,0.4220465007469035,3.8326925132672356,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:04,11.0,2126-158,GGAO12M,WESTFORD,0.4466218539002342,2.4509231538438296,0.43826762817136034,2.556341548453682,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:04,11.0,2126-158,GGAO12M,WETTZ13S,0.4466218539002342,2.4509231538438296,0.17654441294204645,4.040230429305751,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:04,11.0,2126-158,WESTFORD,RAEGYEB,0.43826762817136034,2.556341548453682,0.4220465007469035,3.8326925132672356,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:04,11.0,2126-158,WESTFORD,WETTZ13S,0.43826762817136034,2.556341548453682,0.17654441294204645,4.040230429305751,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:04,11.0,2126-158,WETTZ13S,RAEGYEB,0.17654441294204645,4.040230429305751,0.4220465007469035,3.8326925132672356,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:05,19.0,1243-160,ISHIOKA,KOKEE12M,0.35412745660238876,2.2699125323353373,0.869572168750281,3.447119942144827,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:05,19.0,1243-160,ISHIOKA,MACGO12M,0.35412745660238876,2.2699125323353373,0.17516010625066494,4.258790028578993,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:05,19.0,1243-160,KOKEE12M,MACGO12M,0.869572168750281,3.447119942144827,0.17516010625066494,4.258790028578993,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,GGAO12M,KOKEE12M,1.2568193892043849,4.202462137940827,0.5533051305703539,1.2024480688453856,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,GGAO12M,MACGO12M,1.2568193892043849,4.202462137940827,1.4263925955488337,1.7595121913168228,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,GGAO12M,ONSA13NE,1.2568193892043849,4.202462137940827,0.2738127898930232,5.223873987367942,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,GGAO12M,ONSA13SW,1.2568193892043849,4.202462137940827,0.2738148638851275,5.2238655626363935,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,GGAO12M,RAEGYEB,1.2568193892043849,4.202462137940827,0.29818431528894396,5.124194458142884,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,GGAO12M,WESTFORD,1.2568193892043849,4.202462137940827,1.1647944144347508,4.208711715566425,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,GGAO12M,WETTZ13S,1.2568193892043849,4.202462137940827,0.19199794305429324,5.265590471948984,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,KOKEE12M,MACGO12M,0.5533051305703539,1.2024480688453856,1.4263925955488337,1.7595121913168228,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,KOKEE12M,ONSA13NE,0.5533051305703539,1.2024480688453856,0.2738127898930232,5.223873987367942,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,KOKEE12M,ONSA13SW,0.5533051305703539,1.2024480688453856,0.2738148638851275,5.2238655626363935,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,KOKEE12M,RAEGYEB,0.5533051305703539,1.2024480688453856,0.29818431528894396,5.124194458142884,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,KOKEE12M,WESTFORD,0.5533051305703539,1.2024480688453856,1.1647944144347508,4.208711715566425,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,KOKEE12M,WETTZ13S,0.5533051305703539,1.2024480688453856,0.19199794305429324,5.265590471948984,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,MACGO12M,ONSA13NE,1.4263925955488337,1.7595121913168228,0.2738127898930232,5.223873987367942,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,MACGO12M,ONSA13SW,1.4263925955488337,1.7595121913168228,0.2738148638851275,5.2238655626363935,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,MACGO12M,RAEGYEB,1.4263925955488337,1.7595121913168228,0.29818431528894396,5.124194458142884,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,MACGO12M,WESTFORD,1.4263925955488337,1.7595121913168228,1.1647944144347508,4.208711715566425,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,MACGO12M,WETTZ13S,1.4263925955488337,1.7595121913168228,0.19199794305429324,5.265590471948984,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,ONSA13NE,RAEGYEB,0.2738127898930232,5.223873987367942,0.29818431528894396,5.124194458142884,3384.3999999999996,5500.971428571428,6643.828571428571,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,ONSA13NE,WESTFORD,0.2738127898930232,5.223873987367942,1.1647944144347508,4.208711715566425,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,ONSA13NE,WETTZ13S,0.2738127898930232,5.223873987367942,0.19199794305429324,5.265590471948984,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,ONSA13SW,RAEGYEB,0.2738148638851275,5.2238655626363935,0.29818431528894396,5.124194458142884,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,ONSA13SW,WESTFORD,0.2738148638851275,5.2238655626363935,1.1647944144347508,4.208711715566425,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,ONSA13SW,WETTZ13S,0.2738148638851275,5.2238655626363935,0.19199794305429324,5.265590471948984,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,WESTFORD,RAEGYEB,1.1647944144347508,4.208711715566425,0.29818431528894396,5.124194458142884,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,WESTFORD,WETTZ13S,1.1647944144347508,4.208711715566425,0.19199794305429324,5.265590471948984,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:06,27.0,1751+288,WETTZ13S,RAEGYEB,0.19199794305429324,5.265590471948984,0.29818431528894396,5.124194458142884,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:07,47.0,2008-159,GGAO12M,MACGO12M,0.579370072634914,2.8142294276622937,0.4813961548017378,2.298664210371139,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:07,47.0,2008-159,GGAO12M,RAEGYEB,0.579370072634914,2.8142294276622937,0.2188129359295564,4.123855476344215,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:07,47.0,2008-159,GGAO12M,WESTFORD,0.579370072634914,2.8142294276622937,0.5378094741446865,2.92806120177949,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:07,47.0,2008-159,MACGO12M,RAEGYEB,0.4813961548017378,2.298664210371139,0.2188129359295564,4.123855476344215,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:07,47.0,2008-159,MACGO12M,WESTFORD,0.4813961548017378,2.298664210371139,0.5378094741446865,2.92806120177949,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:07,47.0,2008-159,WESTFORD,RAEGYEB,0.5378094741446865,2.92806120177949,0.2188129359295564,4.123855476344215,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,GGAO12M,ISHIOKA,0.11547905081323417,0.11933992552856264,0.8951030037443376,5.558562680937809,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,GGAO12M,ONSA13NE,0.11547905081323417,0.11933992552856264,0.8695482251951789,0.9747515406095311,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,GGAO12M,ONSA13SW,0.11547905081323417,0.11933992552856264,0.8695369586466621,0.9747359504149506,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,GGAO12M,RAEGYEB,0.11547905081323417,0.11933992552856264,0.5447297672118372,0.688343048421625,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,GGAO12M,WESTFORD,0.11547905081323417,0.11933992552856264,0.1876520273484925,0.17097110201785964,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,GGAO12M,WETTZ13S,0.11547905081323417,0.11933992552856264,0.7894866670508034,0.8564847453447089,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ISHIOKA,ONSA13NE,0.8951030037443376,5.558562680937809,0.8695482251951789,0.9747515406095311,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ISHIOKA,ONSA13SW,0.8951030037443376,5.558562680937809,0.8695369586466621,0.9747359504149506,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ISHIOKA,RAEGYEB,0.8951030037443376,5.558562680937809,0.5447297672118372,0.688343048421625,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ISHIOKA,WESTFORD,0.8951030037443376,5.558562680937809,0.1876520273484925,0.17097110201785964,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ISHIOKA,WETTZ13S,0.8951030037443376,5.558562680937809,0.7894866670508034,0.8564847453447089,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ONSA13NE,RAEGYEB,0.8695482251951789,0.9747515406095311,0.5447297672118372,0.688343048421625,3384.3999999999996,5500.971428571428,6643.828571428571,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ONSA13NE,WESTFORD,0.8695482251951789,0.9747515406095311,0.1876520273484925,0.17097110201785964,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ONSA13NE,WETTZ13S,0.8695482251951789,0.9747515406095311,0.7894866670508034,0.8564847453447089,3256.3999999999996,5496.4,6643.828571428571,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ONSA13SW,RAEGYEB,0.8695369586466621,0.9747359504149506,0.5447297672118372,0.688343048421625,3384.3999999999996,5500.971428571428,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ONSA13SW,WESTFORD,0.8695369586466621,0.9747359504149506,0.1876520273484925,0.17097110201785964,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
20/12/22-18:09,34.0,0613+570,ONSA13SW,WETTZ13S,0.8695369586466621,0.9747359504149506,0.7894866670508034,0.8564847453447089,3256.3999999999996,5496.4,6616.4,10456.4,6000.0
